,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,LOG PRICE,Chhattarpur,Chittaranjan Park,Common Wealth Games Village,Dilshad Garden,Dwarka,Greater Kailash,Hauz Khas,Kalkaji,Karol Bagh,Kirti Nagar,Lajpat Nagar,Laxmi Nagar,Mahavir Enclave,Malviya Nagar,Mathura Road,Mehrauli,New Friends Colony,Okhla,Other,Paschim Vihar,Patel Nagar,Rohini Sector,Safdarjung Enclave,Saket,Shahdara,Sheikh Sarai,Sultanpur,Uttam Nagar,Vasant Kunj,Vasundhara Enclave
0,800.0,3,2.0,0.5,Rohini Sector,1.0,6500000,1,1,0,15.687312734865866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,750.0,2,2.0,0.5,Rohini Sector,1.0,5000000,1,1,1,15.424948470398375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,950.0,2,2.0,1.0,Rohini Sector,1.0,15500000,1,0,1,16.556350581889475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,600.0,2,2.0,0.5,Rohini Sector,1.0,4200000,1,0,0,15.250595083253597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,650.0,2,2.0,0.5,Rohini Sector,1.0,6200000,1,1,0,15.64005985001532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,1300.0,4,3.0,0.5,Rohini Sector,1.0,15500000,1,1,0,16.556350581889475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,1350.0,4,3.0,0.5,Rohini Sector,1.0,10000000,1,0,0,16.11809565095832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,650.0,2,2.0,0.5,Rohini Sector,1.0,4000000,1,1,1,15.201804919084164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,985.0,3,3.0,0.0,Rohini Sector,1.0,6800000,0,1,0,15.732433170146335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,1300.0,4,4.0,0.5,Rohini Sector,1.0,15000000,1,1,0,16.523560759066484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,1100.0,3,2.0,0.5,Rohini Sector,1.0,6200000,1,1,0,15.64005985001532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,870.0,3,2.0,0.5,Rohini Sector,1.0,7700000,1,1,0,15.856730886823913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,630.0,2,2.0,0.5,Rohini Sector,1.0,5500000,1,1,0,15.520258650202699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,660.0,2,2.0,0.5,Rohini Sector,1.0,5000000,1,0,0,15.424948470398375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,344.4448,2,2.0,0.5,Rohini Sector,1.0,3310000,1,0,0,15.012458747353246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,660.0,2,2.0,0.5,Rohini Sector,1.0,4700000,1,1,0,15.363073066680286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,550.0,2,2.0,0.5,Rohini Sector,1.0,4500000,1,1,0,15.319587954740548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,1100.0,4,3.0,0.5,Rohini Sector,1.0,17000000,1,1,0,16.64872390202049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,1150.0,3,3.0,0.5,Rohini Sector,1.0,25000000,1,0,1,17.034386382832476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,650.0,2,2.0,0.5,Rohini Sector,1.0,6000000,1,0,0,15.60727002719233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,850.0,2,2.0,0.5,Rohini Sector,1.0,11000000,1,0,1,16.213405830762646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,900.0,3,2.0,0.5,Other,5.0,4500000,1,0,0,15.319587954740548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,430.556,1,1.0,1.0,Rohini Sector,2.0,5300000,1,0,1,15.483217378522351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,900.0,2,2.0,0.5,Other,1.0,10500000,1,0,1,16.166885815127753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,914.9315,2,2.0,0.5,Rohini Sector,1.0,12000000,1,0,0,16.300417207752275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
